DATE,YLD10
1/31/1881,5.41
10/31/1881,6.15
11/30/1881,6.07
12/31/1881,6.27
2/28/1881,5.51
3/31/1881,5.47
4/30/1881,5.57
5/31/1881,5.3
6/20/1881,5.26
7/31/1881,5.52
8/31/1881,5.78
9/30/1881,5.98
1/31/1882,6.38
10/31/1882,6.35
11/30/1882,6.58
12/31/1882,6.5
2/28/1882,6.6
3/31/1882,6.63
4/30/1882,6.7
5/31/1882,6.86
6/20/1882,6.98
7/31/1882,6.56
8/31/1882,6.44
9/30/1882,6.22
1/31/1883,6.55
10/31/1883,6.65
11/30/1883,6.49
12/31/1883,6.71
2/28/1883,6.78
3/31/1883,6.64
4/30/1883,6.46
5/31/1883,6.52
6/20/1883,6.29
7/31/1883,6.27
8/31/1883,6.58
9/30/1883,6.45
1/31/1884,6.93
10/31/1884,7.53
11/30/1884,7.52
12/31/1884,7.44
2/29/1884,6.75
3/31/1884,6.79
4/30/1884,6.97
5/31/1884,7.43
6/20/1884,7.75
7/31/1884,7.67
8/31/1884,7.22
9/30/1884,7.37
1/31/1885,7.62
10/31/1885,6.25
11/30/1885,5.94
12/31/1885,6.13
2/28/1885,7.47
3/31/1885,7.28
4/30/1885,7.38
5/31/1885,7.29
6/20/1885,7.15
7/31/1885,6.98
8/31/1885,6.61
9/30/1885,6.62
1/31/1886,5.99
10/31/1886,5.39
11/30/1886,5.27
12/31/1886,5.5
2/28/1886,5.88
3/31/1886,5.94
4/30/1886,5.95
5/31/1886,5.93
6/20/1886,5.61
7/31/1886,5.6
8/31/1886,5.64
9/30/1886,5.51
1/31/1887,5.71
10/31/1887,6.3
11/30/1887,6.27
12/31/1887,6.47
2/28/1887,5.84
3/31/1887,5.72
4/30/1887,5.61
5/31/1887,5.53
6/20/1887,5.65
7/31/1887,5.74
8/31/1887,5.97
9/30/1887,6
1/31/1888,6.51
10/31/1888,6.36
11/30/1888,6.57
12/31/1888,6.69
2/29/1888,6.49
3/31/1888,6.75
4/30/1888,6.66
5/31/1888,6.5
6/20/1888,6.63
7/31/1888,6.54
8/31/1888,6.41
9/30/1888,6.25
1/31/1889,6.33
10/31/1889,5.86
11/30/1889,5.92
12/31/1889,6.02
2/28/1889,6.18
3/31/1889,6.22
4/30/1889,6.23
5/31/1889,5.91
6/20/1889,5.81
7/31/1889,5.92
8/31/1889,5.84
9/30/1889,5.76
1/31/1890,5.81
10/31/1890,6.46
11/30/1890,6.78
12/31/1890,6.92
2/28/1890,5.87
3/31/1890,5.92
4/30/1890,5.79
5/31/1890,5.62
6/20/1890,5.65
7/31/1890,5.69
8/31/1890,6.03
9/30/1890,6.18
