DATE,DIV_YLD
1/31/1871,5.86
2/28/1871,5.78
3/31/1871,5.64
4/30/1871,5.49
5/31/1871,5.35
6/30/1871,5.39
7/31/1871,5.5
8/31/1871,5.43
9/30/1871,5.37
10/31/1871,5.66
11/30/1871,5.6
12/31/1871,5.49
1/31/1872,5.42
2/29/1872,5.47
3/31/1872,5.36
4/30/1872,5.28
5/31/1872,5.34
6/30/1872,5.46
7/31/1872,5.55
8/31/1872,5.69
9/30/1872,5.86
10/31/1872,5.9
11/30/1872,5.99
12/31/1872,5.92
1/31/1873,5.92
2/28/1873,5.92
3/31/1873,6.02
4/30/1873,6.15
5/31/1873,6.19
6/30/1873,6.33
7/31/1873,6.39
8/31/1873,6.44
9/30/1873,7.03
10/31/1873,7.76
11/30/1873,8.11
12/31/1873,7.47
1/31/1874,7.08
2/28/1874,6.88
3/31/1874,6.98
4/30/1874,7.17
5/31/1874,7.37
6/30/1874,7.4
7/31/1874,7.4
8/31/1874,7.38
9/30/1874,7.27
10/31/1874,7.28
11/30/1874,7.22
12/31/1874,7.27
1/31/1875,7.21
2/28/1875,7.17
3/31/1875,7.03
4/30/1875,6.88
5/31/1875,7.1
6/30/1875,7.19
7/31/1875,7.12
8/31/1875,7.03
9/30/1875,7.04
10/31/1875,7.09
11/30/1875,6.92
12/31/1875,6.86
1/31/1876,6.73
2/29/1876,6.64
3/31/1876,6.65
4/30/1876,6.91
5/31/1876,7.18
6/30/1876,7.23
7/31/1876,7.32
8/31/1876,7.63
9/30/1876,8.13
10/31/1876,8.17
11/30/1876,8.33
12/31/1876,8.38
1/31/1877,8.19
2/28/1877,8.43
3/31/1877,8.6
4/30/1877,8.96
5/31/1877,8.65
6/30/1877,8.97
7/31/1877,8.27
8/31/1877,7.43
9/30/1877,6.71
10/31/1877,6.29
11/30/1877,6.11
12/31/1877,5.85
1/31/1878,5.82
2/28/1878,5.92
3/31/1878,5.79
4/30/1878,5.61
5/31/1878,5.56
6/30/1878,5.43
7/31/1878,5.29
8/31/1878,5.31
9/30/1878,5.18
10/31/1878,5.22
11/30/1878,5.21
12/31/1878,5.22
1/31/1879,5.08
2/28/1879,4.94
3/31/1879,5.07
4/30/1879,4.95
5/31/1879,4.78
6/30/1879,4.8
7/31/1879,4.75
8/31/1879,4.75
9/30/1879,4.62
10/31/1879,4.2
11/30/1879,4.02
12/31/1879,4.07
1/31/1880,4.01
2/29/1880,4.04
3/31/1880,4.06
4/30/1880,4.25
5/31/1880,4.72
6/30/1880,4.8
7/31/1880,4.69
8/31/1880,4.62
9/30/1880,4.73
10/31/1880,4.69
11/30/1880,4.55
12/31/1880,4.45
1/31/1881,4.28
2/28/1881,4.38
3/31/1881,4.41
4/30/1881,4.5
5/31/1881,4.38
6/30/1881,4.41
7/31/1881,4.65
8/31/1881,4.84
9/30/1881,4.88
10/31/1881,5.04
11/30/1881,5.09
12/31/1881,5.32
1/31/1882,5.41
2/28/1882,5.53
3/31/1882,5.54
4/30/1882,5.54
5/31/1882,5.6
6/30/1882,5.63
7/31/1882,5.33
8/31/1882,5.18
9/30/1882,5.13
10/31/1882,5.27
11/30/1882,5.51
12/31/1882,5.48
1/31/1883,5.52
2/28/1883,5.66
3/31/1883,5.61
4/30/1883,5.51
5/31/1883,5.62
6/30/1883,5.58
7/31/1883,5.69
8/31/1883,5.97
9/30/1883,5.92
10/31/1883,6.1
11/30/1883,6.03
12/31/1883,6.18
1/31/1884,6.34
2/29/1884,6.14
3/31/1884,6.13
4/30/1884,6.39
5/31/1884,6.92
6/30/1884,7.17
7/31/1884,7.14
8/31/1884,6.68
9/30/1884,6.86
10/31/1884,7.06
11/30/1884,7.17
12/31/1884,7.14
1/31/1885,7.17
2/28/1885,6.83
3/31/1885,6.68
4/30/1885,6.56
5/31/1885,6.5
6/30/1885,6.4
7/31/1885,6.04
8/31/1885,5.59
9/30/1885,5.54
10/31/1885,5.12
11/30/1885,4.69
12/31/1885,4.62
1/31/1886,4.58
2/28/1886,4.47
3/31/1886,4.53
4/30/1886,4.56
5/31/1886,4.62
6/30/1886,4.38
7/31/1886,4.28
8/31/1886,4.22
9/30/1886,4.08
10/31/1886,3.95
11/30/1886,3.83
12/31/1886,3.9
1/31/1887,3.99
2/28/1887,4.06
3/31/1887,4.01
4/30/1887,3.97
5/31/1887,3.94
6/30/1887,4.1
7/31/1887,4.25
8/31/1887,4.4
9/30/1887,4.51
10/31/1887,4.71
11/30/1887,4.67
12/31/1887,4.74
1/31/1888,4.68
2/29/1888,4.67
3/31/1888,4.82
4/30/1888,4.77
5/31/1888,4.68
6/30/1888,4.79
7/31/1888,4.64
8/31/1888,4.51
9/30/1888,4.37
10/31/1888,4.36
11/30/1888,4.42
12/31/1888,4.47
1/31/1889,4.37
2/28/1889,4.31
3/31/1889,4.38
4/30/1889,4.38
5/31/1889,4.24
6/30/1889,4.16
7/31/1889,4.23
8/31/1889,4.16
9/30/1889,4.05
10/31/1889,4.11
11/30/1889,4.13
12/31/1889,4.14
1/31/1890,4.09
2/28/1890,4.14
3/31/1890,4.17
4/30/1890,4.08
5/31/1890,3.91
6/30/1890,3.94
7/31/1890,3.97
8/31/1890,4.07
9/30/1890,4.14
10/31/1890,4.33
11/30/1890,4.67
12/31/1890,4.78
1/31/1891,4.55
2/28/1891,4.49
3/31/1891,4.57
4/30/1891,4.43
5/31/1891,4.44
6/30/1891,4.54
7/31/1891,4.61
8/31/1891,4.46
9/30/1891,4.13
10/31/1891,4.13
11/30/1891,4.19
12/31/1891,4.07
1/31/1892,4.02
2/29/1892,4.05
3/31/1892,4.03
4/30/1892,4.07
5/31/1892,4.1
6/30/1892,4.15
7/31/1892,4.18
8/31/1892,4.15
9/30/1892,4.29
10/31/1892,4.23
11/30/1892,4.28
12/31/1892,4.36
1/31/1893,4.29
2/28/1893,4.39
3/31/1893,4.57
4/30/1893,4.58
5/31/1893,5.05
6/30/1893,5.31
7/31/1893,5.88
8/31/1893,6.05
9/30/1893,5.66
10/31/1893,5.52
11/30/1893,5.45
12/31/1893,5.67
1/31/1894,5.71
2/28/1894,5.55
3/31/1894,5.32
4/30/1894,5.18
5/31/1894,5.3
6/30/1894,5.3
7/31/1894,5.33
8/31/1894,5.06
9/30/1894,4.91
10/31/1894,4.99
11/30/1894,4.91
12/31/1894,4.88
1/31/1895,4.9
2/28/1895,4.93
3/31/1895,4.89
4/30/1895,4.65
5/31/1895,4.38
6/30/1895,4.26
7/31/1895,4.2
8/31/1895,4.11
9/30/1895,4.05
10/31/1895,4.07
11/30/1895,4.18
12/31/1895,4.4
1/31/1896,4.43
2/29/1896,4.23
3/31/1896,4.28
4/30/1896,4.22
5/31/1896,4.22
6/30/1896,4.28
7/31/1896,4.56
8/31/1896,4.81
9/30/1896,4.55
10/31/1896,4.43
11/30/1896,4.13
12/31/1896,4.27
1/31/1897,4.27
2/28/1897,4.31
3/31/1897,4.3
4/30/1897,4.43
5/31/1897,4.41
6/30/1897,4.22
7/31/1897,4.04
8/31/1897,3.79
9/30/1897,3.61
10/31/1897,3.73
11/30/1897,3.87
12/31/1897,3.79
1/31/1898,3.72
2/28/1898,3.76
3/31/1898,3.98
4/30/1898,4.09
5/31/1898,3.87
6/30/1898,3.75
7/31/1898,3.77
8/31/1898,3.67
9/30/1898,3.71
10/31/1898,3.82
11/30/1898,3.73
12/31/1898,3.54
1/31/1899,3.3
2/28/1899,3.2
3/31/1899,3.16
4/30/1899,3.14
5/31/1899,3.29
6/30/1899,3.38
7/31/1899,3.28
8/31/1899,3.21
9/30/1899,3.26
10/31/1899,3.29
11/30/1899,3.24
12/31/1899,3.49
1/31/1900,3.57
2/28/1900,3.62
3/31/1900,3.71
4/30/1900,3.79
5/31/1900,4.1
6/30/1900,4.35
7/31/1900,4.48
8/31/1900,4.55
9/30/1900,4.78
10/31/1900,4.74
11/30/1900,4.51
12/31/1900,4.37
1/31/1901,4.27
2/28/1901,4.18
3/31/1901,4.06
4/30/1901,3.77
5/31/1901,3.99
6/30/1901,3.65
7/31/1901,3.93
8/31/1901,3.9
9/30/1901,3.94
10/31/1901,4
11/30/1901,3.94
12/31/1901,4.03
1/31/1902,3.95
2/28/1902,3.93
3/31/1902,3.93
4/30/1902,3.81
5/31/1902,3.83
6/30/1902,3.86
7/31/1902,3.79
8/31/1902,3.7
9/30/1902,3.7
10/31/1902,3.83
11/30/1902,4
12/31/1902,4.1
1/31/1903,3.92
2/28/1903,3.96
3/31/1903,4.15
4/30/1903,4.34
5/31/1903,4.45
6/30/1903,4.74
7/31/1903,4.99
8/31/1903,5.18
9/30/1903,5.33
10/31/1903,5.54
11/30/1903,5.55
12/31/1903,5.33
1/31/1904,5.19
2/29/1904,5.28
3/31/1904,5.25
4/30/1904,5.07
5/31/1904,5.13
6/30/1904,5.07
7/31/1904,4.82
8/31/1904,4.61
9/30/1904,4.37
10/31/1904,4.09
11/30/1904,3.83
12/31/1904,3.76
1/31/1905,3.7
2/28/1905,3.56
3/31/1905,3.48
4/30/1905,3.54
5/31/1905,3.74
6/30/1905,3.72
