DATE,DGS10,DGS2,T10Y2Y
6/1/1976,7.94,7.26,0.68
6/2/1976,7.94,7.23,0.71
6/3/1976,7.92,7.22,0.7
6/4/1976,7.89,7.12,0.77
6/7/1976,7.88,7.09,0.79
6/8/1976,7.9,7.11,0.79
6/9/1976,7.9,7.08,0.82
6/10/1976,7.86,7,0.86
6/11/1976,7.86,7.03,0.83
6/14/1976,7.84,7.01,0.83
6/15/1976,7.85,7.02,0.83
6/16/1976,7.87,7.06,0.81
6/17/1976,7.85,7.06,0.79
6/18/1976,7.81,6.99,0.82
6/21/1976,7.8,6.95,0.85
6/22/1976,7.81,7.01,0.8
6/23/1976,7.81,7.01,0.8
6/24/1976,7.81,6.99,0.82
6/25/1976,7.83,7.02,0.81
6/28/1976,7.86,7.02,0.84
6/29/1976,7.86,7.02,0.84
6/30/1976,7.86,7.02,0.84
7/1/1976,7.88,7.02,0.86
7/2/1976,7.84,6.99,0.85
7/5/1976,7.83,6.975,0.855
7/6/1976,7.82,6.96,0.86
7/7/1976,7.84,6.99,0.85
7/8/1976,7.82,6.92,0.9
7/9/1976,7.78,6.77,1.01
7/12/1976,7.76,6.72,1.04
7/13/1976,7.77,6.74,1.03
7/14/1976,7.79,6.76,1.03
7/15/1976,7.77,6.72,1.05
7/16/1976,7.83,6.85,0.98
7/19/1976,7.86,6.89,0.97
7/20/1976,7.87,6.91,0.96
7/21/1976,7.86,6.9,0.96
7/22/1976,7.86,6.91,0.95
7/23/1976,7.84,6.9,0.94
7/26/1976,7.87,6.86,1.01
7/27/1976,7.85,6.76,1.09
7/28/1976,7.85,6.79,1.06
7/29/1976,7.85,6.75,1.1
7/30/1976,7.86,6.74,1.12
8/2/1976,7.85,6.75,1.1
8/3/1976,7.82,6.72,1.1
8/4/1976,7.81,6.73,1.08
8/5/1976,7.82,6.74,1.08
8/6/1976,7.84,6.71,1.13
8/9/1976,7.84,6.68,1.16
8/10/1976,7.84,6.68,1.16
8/11/1976,7.82,6.66,1.16
8/12/1976,7.81,6.64,1.17
8/13/1976,7.78,6.6,1.18
8/16/1976,7.74,6.57,1.17
8/17/1976,7.75,6.57,1.18
8/18/1976,7.76,6.59,1.17
8/19/1976,7.76,6.61,1.15
8/20/1976,7.76,6.68,1.08
8/23/1976,7.73,6.62,1.11
8/24/1976,7.72,6.6,1.12
8/25/1976,7.69,6.53,1.16
8/26/1976,7.68,6.54,1.14
8/27/1976,7.72,6.6,1.12
8/30/1976,7.71,6.57,1.14
8/31/1976,7.66,6.5,1.16
9/1/1976,7.64,6.5,1.14
9/2/1976,7.67,6.54,1.13
9/3/1976,7.65,6.52,1.13
9/6/1976,7.645,6.49,1.155
9/7/1976,7.64,6.46,1.18
9/8/1976,7.64,6.44,1.2
9/9/1976,7.66,6.49,1.17
9/10/1976,7.64,6.46,1.18
9/13/1976,7.64,6.47,1.17
9/14/1976,7.64,6.49,1.15
9/15/1976,7.62,6.45,1.17
9/16/1976,7.6,6.41,1.19
9/17/1976,7.49,6.26,1.23
9/20/1976,7.52,6.34,1.18
9/21/1976,7.51,6.3,1.21
9/22/1976,7.53,6.36,1.17
9/23/1976,7.54,6.35,1.19
9/24/1976,7.58,6.44,1.14
9/27/1976,7.6,6.41,1.19
9/28/1976,7.56,6.36,1.2
9/29/1976,7.56,6.36,1.2
9/30/1976,7.55,6.33,1.22
10/1/1976,7.49,6.24,1.25
10/4/1976,7.46,6.19,1.27
10/5/1976,7.47,6.19,1.28
10/6/1976,7.44,6.11,1.33
10/7/1976,7.43,6.09,1.34
10/8/1976,7.38,5.87,1.51
10/11/1976,7.365,5.835,1.53
10/12/1976,7.35,5.8,1.55
10/13/1976,7.35,5.82,1.53
10/14/1976,7.34,5.81,1.53
10/15/1976,7.31,5.75,1.56
10/18/1976,7.31,5.77,1.54
10/19/1976,7.35,5.85,1.5
10/20/1976,7.38,5.95,1.43
10/21/1976,7.39,5.98,1.41
10/22/1976,7.48,6.07,1.41
10/25/1976,7.53,6.11,1.42
10/26/1976,7.48,6.05,1.43
10/27/1976,7.45,6.01,1.44
10/28/1976,7.41,5.99,1.42
10/29/1976,7.42,6.03,1.39
11/1/1976,7.38,6.03,1.35
11/2/1976,7.41,6.05,1.36
11/3/1976,7.44,6.07,1.37
11/4/1976,7.38,5.95,1.43
11/5/1976,7.41,6.01,1.4
11/8/1976,7.46,6.04,1.42
11/9/1976,7.46,6.07,1.39
11/10/1976,7.45,6.03,1.42
11/11/1976,7.44,6.02,1.42
11/12/1976,7.43,6.01,1.42
11/15/1976,7.41,6,1.41
11/16/1976,7.33,5.86,1.47
11/17/1976,7.32,5.82,1.5
11/18/1976,7.33,5.83,1.5
11/19/1976,7.24,5.67,1.57
11/22/1976,7.17,5.56,1.61
11/23/1976,7.16,5.59,1.57
11/24/1976,7.14,5.56,1.58
11/25/1976,7.065,5.485,1.58
11/26/1976,6.99,5.41,1.58
11/29/1976,7.02,5.46,1.56
11/30/1976,7.01,5.42,1.59
12/1/1976,6.97,5.4,1.57
12/2/1976,6.92,5.34,1.58
12/3/1976,6.86,5.31,1.55
12/6/1976,6.87,5.37,1.5
12/7/1976,6.88,5.41,1.47
12/8/1976,6.91,5.43,1.48
12/9/1976,6.92,5.44,1.48
12/10/1976,6.82,5.31,1.51
12/13/1976,6.9,5.43,1.47
12/14/1976,6.89,5.39,1.5
12/15/1976,6.88,5.38,1.5
12/16/1976,6.88,5.4,1.48
12/17/1976,6.88,5.4,1.48
12/20/1976,6.84,5.34,1.5
12/21/1976,6.85,5.37,1.48
12/22/1976,6.86,5.34,1.52
12/23/1976,6.84,5.36,1.48
12/24/1976,6.84,5.365,1.475
12/27/1976,6.84,5.37,1.47
12/28/1976,6.86,5.39,1.47
12/29/1976,6.84,5.39,1.45
12/30/1976,6.8,5.38,1.42
12/31/1976,6.81,5.34,1.47
1/3/1977,6.84,5.42,1.42
1/4/1977,6.9,5.5,1.4
1/5/1977,6.88,5.48,1.4
1/6/1977,6.93,5.57,1.36
1/7/1977,7.07,5.68,1.39
1/10/1977,7.2,5.79,1.41
1/11/1977,7.28,5.87,1.41
1/12/1977,7.26,5.84,1.42
1/13/1977,7.18,5.79,1.39
1/14/1977,7.28,5.96,1.32
1/17/1977,7.28,5.98,1.3
1/18/1977,7.34,6.04,1.3
1/19/1977,7.28,6.02,1.26
1/20/1977,7.26,6.01,1.25
1/21/1977,7.28,6.02,1.26
1/24/1977,7.34,6.09,1.25
1/25/1977,7.32,6.08,1.24
1/26/1977,7.33,6.09,1.24
1/27/1977,7.43,6.26,1.17
1/28/1977,7.4,6.22,1.18
1/31/1977,7.4,6.18,1.22
